id,index_name,symbol,isin,company_name,effective_from,effective_to,is_current,created_at,Vlookup,
3267,NIFTY 100,HCLTECH,,HCL Technologies Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3268,NIFTY 100,INFY,,Infosys Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3269,NIFTY 100,ADANIPOWER,,Adani Power Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3270,NIFTY 100,HDFCBANK,,HDFC Bank Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3271,NIFTY 100,ICICIBANK,,ICICI Bank Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3272,NIFTY 100,TECHM,,Tech Mahindra Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3273,NIFTY 100,SBIN,,State Bank of India,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3274,NIFTY 100,TCS,,Tata Consultancy Services Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3275,NIFTY 100,HINDUNILVR,,Hindustan Unilever Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3276,NIFTY 100,ABB,,ABB India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3277,NIFTY 100,RELIANCE,,Reliance Industries Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3278,NIFTY 100,ETERNAL,,ETERNAL LIMITED,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3279,NIFTY 100,TRENT,,Trent Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3280,NIFTY 100,NESTLEIND,,Nestle India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3281,NIFTY 100,VEDL,,Vedanta Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3282,NIFTY 100,BHARTIARTL,,Bharti Airtel Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3283,NIFTY 100,M&M,,Mahindra & Mahindra Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3284,NIFTY 100,JIOFIN,,Jio Financial Services Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3285,NIFTY 100,LT,,Larsen & Toubro Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3286,NIFTY 100,ADANIENSOL,,Adani Energy Solutions Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3287,NIFTY 100,ADANIENT,,Adani Enterprises Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3288,NIFTY 100,SBILIFE,,SBI Life Insurance Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3289,NIFTY 100,ITC,,ITC Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3290,NIFTY 100,NTPC,,NTPC Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3291,NIFTY 100,VBL,,Varun Beverages Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3292,NIFTY 100,ADANIGREEN,,Adani Green Energy Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3293,NIFTY 100,MARUTI,,Maruti Suzuki India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3294,NIFTY 100,MOTHERSON,,Samvardhana Motherson International Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3295,NIFTY 100,AXISBANK,,Axis Bank Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3296,NIFTY 100,KOTAKBANK,,Kotak Mahindra Bank Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3297,NIFTY 100,TMPV,,Tata Motors Passenger Vehicles Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3298,NIFTY 100,BAJFINANCE,,Bajaj Finance Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3299,NIFTY 100,BEL,,Bharat Electronics Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3300,NIFTY 100,MAZDOCK,,Mazagon Dock Shipbuilders Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3301,NIFTY 100,INDIGO,,InterGlobe Aviation Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3302,NIFTY 100,TATACONSUM,,TATA CONSUMER PRODUCTS LIMITED,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3303,NIFTY 100,APOLLOHOSP,,Apollo Hospitals Enterprise Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3304,NIFTY 100,HINDALCO,,Hindalco Industries Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3305,NIFTY 100,SHRIRAMFIN,,Shriram Finance Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3306,NIFTY 100,WIPRO,,Wipro Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3307,NIFTY 100,TATASTEEL,,Tata Steel Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3308,NIFTY 100,HINDZINC,,Hindustan Zinc Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3309,NIFTY 100,UNIONBANK,,Union Bank of India,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3310,NIFTY 100,CGPOWER,,CG Power and Industrial Solutions Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3311,NIFTY 100,ULTRACEMCO,,UltraTech Cement Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3312,NIFTY 100,JSWSTEEL,,JSW Steel Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3313,NIFTY 100,SUNPHARMA,,Sun Pharmaceutical Industries Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3314,NIFTY 100,EICHERMOT,,Eicher Motors Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3315,NIFTY 100,HAL,,Hindustan Aeronautics Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3316,NIFTY 100,TMCV,,Tata Motors Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3317,NIFTY 100,SIEMENS,,Siemens Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3318,NIFTY 100,HDFCAMC,,HDFC Asset Management Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3319,NIFTY 100,BRITANNIA,,Britannia Industries Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3320,NIFTY 100,COALINDIA,,Coal India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3321,NIFTY 100,ADANIPORTS,,Adani Ports and Special Economic Zone Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3322,NIFTY 100,MUTHOOTFIN,,Muthoot Finance Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3323,NIFTY 100,BAJAJ-AUTO,,Bajaj Auto Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3324,NIFTY 100,ASIANPAINT,,Asian Paints Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3325,NIFTY 100,LODHA,,Lodha Developers Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3326,NIFTY 100,CANBK,,Canara Bank,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3327,NIFTY 100,CHOLAFIN,,Cholamandalam Investment and Finance Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3328,NIFTY 100,TITAN,,Titan Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3329,NIFTY 100,CUMMINSIND,,Cummins India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3330,NIFTY 100,TATAPOWER,,Tata Power Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3331,NIFTY 100,GRASIM,,Grasim Industries Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3332,NIFTY 100,UNITDSPR,,United Spirits Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3333,NIFTY 100,PFC,,Power Finance Corporation Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3334,NIFTY 100,GAIL,,GAIL (India) Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3335,NIFTY 100,HDFCLIFE,,HDFC Life Insurance Company Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3336,NIFTY 100,LTM,,LTM Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3337,NIFTY 100,BPCL,,Bharat Petroleum Corporation Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3338,NIFTY 100,IRFC,,Indian Railway Finance Corporation Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
3339,NIFTY 100,POWERGRID,,Power Grid Corporation of India Limited,22-04-2026,,TRUE,2026-04-22T11:15:09.721168,,
