symbol,company_name,effective_from,effective_to,is_current
20th Century Finance Corporation Ltd.,20th Century Finance Corporation Ltd.,1998-08-01,1999-02-03,False
3M India Ltd.,3M India Ltd.,1998-08-01,,True
ABB India Ltd.,ABB India Ltd.,1998-08-01,,True
ACC Ltd.,ACC Ltd.,1998-08-01,,True
AGC Networks Ltd.,AGC Networks Ltd.,1998-08-01,2011-03-25,False
AP Paper Mills Ltd.,AP Paper Mills Ltd.,1998-08-01,2002-04-23,False
APR Ltd.,APR Ltd.,1998-08-01,2000-09-03,False
ATV Projects India Ltd.,ATV Projects India Ltd.,1998-08-01,1999-02-03,False
Aban Offshore Ltd.,Aban Offshore Ltd.,1998-08-01,,True
Abbott India Ltd.,Abbott India Ltd.,1998-08-01,2003-04-01,False
Adani Enterprises Ltd.,Adani Enterprises Ltd.,1998-08-01,,True
Aditya Birla Nuvo Ltd.,Aditya Birla Nuvo Ltd.,1998-08-01,2015-10-19,False
Ador Welding Ltd.,Ador Welding Ltd.,1998-08-01,2011-10-10,False
Agro Tech Foods Ltd.,Agro Tech Foods Ltd.,1998-08-01,,True
Ahmednagar Forgings Ltd.,Ahmednagar Forgings Ltd.,1998-08-01,1999-09-08,False
Akzo Nobel India Ltd.,Akzo Nobel India Ltd.,1998-08-01,,True
Alembic Ltd.,Alembic Ltd.,1998-08-01,2011-04-11,False
Alfa Laval (India) Ltd.,Alfa Laval (India) Ltd.,1998-08-01,2012-04-12,False
Alpic Finance Ltd.,Alpic Finance Ltd.,1998-08-01,2002-01-17,False
Alpine Industries Ltd.,Alpine Industries Ltd.,1998-08-01,1999-05-26,False
Altos India Ltd.,Altos India Ltd.,1998-08-01,1999-05-26,False
Ambalal Sarabhai Enterprises Ltd.,Ambalal Sarabhai Enterprises Ltd.,1998-08-01,2002-03-29,False
Ambuja Cements Ltd.,Ambuja Cements Ltd.,1998-08-01,,True
Amrut Industries Ltd.,Amrut Industries Ltd.,1998-08-01,1999-02-03,False
Andhra Valley Power Supply Co. Ltd.,Andhra Valley Power Supply Co. Ltd.,1998-08-01,2000-11-29,False
Apollo Hospitals Enterprises Ltd.,Apollo Hospitals Enterprises Ltd.,1998-08-01,,True
Apollo Tyres Ltd.,Apollo Tyres Ltd.,1998-08-01,,True
Apple Credit Corporation Ltd.,Apple Credit Corporation Ltd.,1998-08-01,2001-08-31,False
Apple Finance Ltd.,Apple Finance Ltd.,1998-08-01,2001-12-07,False
Aptech Ltd. (Erstwhile),Aptech Ltd. (Erstwhile),1998-08-01,2002-01-29,False
Arvind Ltd.,Arvind Ltd.,1998-08-01,2015-02-02,False
Arvind Polycot Ltd.,Arvind Polycot Ltd.,1998-08-01,1999-05-26,False
Ashok Leyland Finance Ltd.,Ashok Leyland Finance Ltd.,1998-08-01,2004-07-09,False
Ashok Leyland Ltd.,Ashok Leyland Ltd.,1998-08-01,,True
Asian Coffee Ltd.,Asian Coffee Ltd.,1998-08-01,1999-12-08,False
Asian Electronics Ltd.,Asian Electronics Ltd.,1998-08-01,2011-03-25,False
Asian Hotels (North) Ltd.,Asian Hotels (North) Ltd.,1998-08-01,2010-02-24,False
Asian Paints Ltd.,Asian Paints Ltd.,1998-08-01,,True
Assam Company India Ltd.,Assam Company India Ltd.,1998-08-01,2002-07-09,False
AstraZenca Pharma India Ltd.,AstraZenca Pharma India Ltd.,1998-08-01,,True
Atcom Technologies Ltd.,Atcom Technologies Ltd.,1998-08-01,2004-12-10,False
Atlas Copco (India) Ltd.,Atlas Copco (India) Ltd.,1998-08-01,2003-04-01,False
Atlas Cycle (Haryana) Ltd.,Atlas Cycle (Haryana) Ltd.,1998-08-01,2007-04-04,False
Atul Ltd.,Atul Ltd.,1998-08-01,,True
